question_id,image,cls,label,pred,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,no,"no garbage, clean environment: 0.75 | trash pile: 0.09 | plastic bottle: 0.07 | plastic bag: 0.05 | trash: 0.02 | can: 0.00 | plastic wrapper: 0.00 | metal scrap: 0.00 | glass: 0.00",0.376,1659.9
15,close_distance_trash1006.jpg,trash,no,no,"plastic bag: 0.87 | plastic bottle: 0.09 | plastic wrapper: 0.03 | no garbage, clean environment: 0.01 | trash pile: 0.00 | trash: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.056,1659.9
16,close_distance_trash1006.jpg,glass,no,no,"plastic bag: 0.87 | plastic bottle: 0.09 | plastic wrapper: 0.03 | no garbage, clean environment: 0.01 | trash pile: 0.00 | trash: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.05,1659.9
17,close_distance_trash101.jpg,glass,yes,no,"plastic bottle: 0.59 | no garbage, clean environment: 0.18 | glass: 0.12 | plastic wrapper: 0.05 | can: 0.04 | trash: 0.01 | metal scrap: 0.01 | plastic bag: 0.00 | trash pile: 0.00",0.038,1659.9
18,close_distance_trash101.jpg,metal scrap,no,no,"plastic bottle: 0.59 | no garbage, clean environment: 0.18 | glass: 0.12 | plastic wrapper: 0.05 | can: 0.04 | trash: 0.01 | metal scrap: 0.01 | plastic bag: 0.00 | trash pile: 0.00",0.028,1659.9
19,close_distance_trash101.jpg,can,no,no,"plastic bottle: 0.59 | no garbage, clean environment: 0.18 | glass: 0.12 | plastic wrapper: 0.05 | can: 0.04 | trash: 0.01 | metal scrap: 0.01 | plastic bag: 0.00 | trash pile: 0.00",0.03,1659.9
20,close_distance_trash101.jpg,plastic bag,no,no,"plastic bottle: 0.59 | no garbage, clean environment: 0.18 | glass: 0.12 | plastic wrapper: 0.05 | can: 0.04 | trash: 0.01 | metal scrap: 0.01 | plastic bag: 0.00 | trash pile: 0.00",0.026,1659.9
21,close_distance_trash101.jpg,plastic bottle,no,yes,"plastic bottle: 0.59 | no garbage, clean environment: 0.18 | glass: 0.12 | plastic wrapper: 0.05 | can: 0.04 | trash: 0.01 | metal scrap: 0.01 | plastic bag: 0.00 | trash pile: 0.00",0.03,1659.9
22,close_distance_trash101.jpg,plastic wrapper,no,no,"plastic bottle: 0.59 | no garbage, clean environment: 0.18 | glass: 0.12 | plastic wrapper: 0.05 | can: 0.04 | trash: 0.01 | metal scrap: 0.01 | plastic bag: 0.00 | trash pile: 0.00",0.029,1659.9
23,close_distance_trash101.jpg,trash,no,no,"plastic bottle: 0.59 | no garbage, clean environment: 0.18 | glass: 0.12 | plastic wrapper: 0.05 | can: 0.04 | trash: 0.01 | metal scrap: 0.01 | plastic bag: 0.00 | trash pile: 0.00",0.04,1659.9
24,close_distance_trash101.jpg,trash pile,no,no,"plastic bottle: 0.59 | no garbage, clean environment: 0.18 | glass: 0.12 | plastic wrapper: 0.05 | can: 0.04 | trash: 0.01 | metal scrap: 0.01 | plastic bag: 0.00 | trash pile: 0.00",0.029,1659.9
25,close_distance_trash1019.jpg,plastic bottle,yes,yes,"plastic bottle: 0.58 | plastic wrapper: 0.32 | no garbage, clean environment: 0.06 | plastic bag: 0.01 | trash pile: 0.01 | can: 0.01 | trash: 0.01 | glass: 0.00 | metal scrap: 0.00",0.153,1659.9
26,close_distance_trash1019.jpg,metal scrap,no,no,"plastic bottle: 0.58 | plastic wrapper: 0.32 | no garbage, clean environment: 0.06 | plastic bag: 0.01 | trash pile: 0.01 | can: 0.01 | trash: 0.01 | glass: 0.00 | metal scrap: 0.00",0.129,1659.9
27,close_distance_trash1019.jpg,plastic bag,no,no,"plastic bottle: 0.58 | plastic wrapper: 0.32 | no garbage, clean environment: 0.06 | plastic bag: 0.01 | trash pile: 0.01 | can: 0.01 | trash: 0.01 | glass: 0.00 | metal scrap: 0.00",0.147,1659.9
28,close_distance_trash1019.jpg,plastic wrapper,no,yes,"plastic bottle: 0.58 | plastic wrapper: 0.32 | no garbage, clean environment: 0.06 | plastic bag: 0.01 | trash pile: 0.01 | can: 0.01 | trash: 0.01 | glass: 0.00 | metal scrap: 0.00",0.137,1659.9
29,close_distance_trash1019.jpg,can,no,no,"plastic bottle: 0.58 | plastic wrapper: 0.32 | no garbage, clean environment: 0.06 | plastic bag: 0.01 | trash pile: 0.01 | can: 0.01 | trash: 0.01 | glass: 0.00 | metal scrap: 0.00",0.145,1659.9
30,close_distance_trash1019.jpg,trash pile,no,no,"plastic bottle: 0.58 | plastic wrapper: 0.32 | no garbage, clean environment: 0.06 | plastic bag: 0.01 | trash pile: 0.01 | can: 0.01 | trash: 0.01 | glass: 0.00 | metal scrap: 0.00",0.14,1659.9
31,close_distance_trash1019.jpg,trash,no,no,"plastic bottle: 0.58 | plastic wrapper: 0.32 | no garbage, clean environment: 0.06 | plastic bag: 0.01 | trash pile: 0.01 | can: 0.01 | trash: 0.01 | glass: 0.00 | metal scrap: 0.00",0.169,1659.9
32,close_distance_trash1019.jpg,glass,no,no,"plastic bottle: 0.58 | plastic wrapper: 0.32 | no garbage, clean environment: 0.06 | plastic bag: 0.01 | trash pile: 0.01 | can: 0.01 | trash: 0.01 | glass: 0.00 | metal scrap: 0.00",0.14,1659.9
33,close_distance_trash102.jpg,plastic wrapper,yes,yes,"plastic wrapper: 0.97 | trash pile: 0.01 | plastic bag: 0.01 | trash: 0.01 | plastic bottle: 0.00 | no garbage, clean environment: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.03,1659.9
34,close_distance_trash102.jpg,trash,yes,no,"plastic wrapper: 0.97 | trash pile: 0.01 | plastic bag: 0.01 | trash: 0.01 | plastic bottle: 0.00 | no garbage, clean environment: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.033,1659.9
35,close_distance_trash102.jpg,can,no,no,"plastic wrapper: 0.97 | trash pile: 0.01 | plastic bag: 0.01 | trash: 0.01 | plastic bottle: 0.00 | no garbage, clean environment: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.032,1659.9
36,close_distance_trash102.jpg,trash pile,no,no,"plastic wrapper: 0.97 | trash pile: 0.01 | plastic bag: 0.01 | trash: 0.01 | plastic bottle: 0.00 | no garbage, clean environment: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.028,1659.9
37,close_distance_trash102.jpg,plastic bottle,no,no,"plastic wrapper: 0.97 | trash pile: 0.01 | plastic bag: 0.01 | trash: 0.01 | plastic bottle: 0.00 | no garbage, clean environment: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.024,1659.9
38,close_distance_trash102.jpg,plastic bag,no,no,"plastic wrapper: 0.97 | trash pile: 0.01 | plastic bag: 0.01 | trash: 0.01 | plastic bottle: 0.00 | no garbage, clean environment: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.024,1659.9
39,close_distance_trash102.jpg,glass,no,no,"plastic wrapper: 0.97 | trash pile: 0.01 | plastic bag: 0.01 | trash: 0.01 | plastic bottle: 0.00 | no garbage, clean environment: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.028,1659.9
40,close_distance_trash102.jpg,metal scrap,no,no,"plastic wrapper: 0.97 | trash pile: 0.01 | plastic bag: 0.01 | trash: 0.01 | plastic bottle: 0.00 | no garbage, clean environment: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.028,1659.9
41,close_distance_trash1022.jpg,plastic bottle,yes,yes,"plastic bag: 0.34 | plastic bottle: 0.31 | no garbage, clean environment: 0.23 | trash pile: 0.04 | plastic wrapper: 0.03 | trash: 0.02 | can: 0.01 | metal scrap: 0.01 | glass: 0.00",0.033,1659.9
42,close_distance_trash1022.jpg,trash pile,yes,no,"plastic bag: 0.34 | plastic bottle: 0.31 | no garbage, clean environment: 0.23 | trash pile: 0.04 | plastic wrapper: 0.03 | trash: 0.02 | can: 0.01 | metal scrap: 0.01 | glass: 0.00",0.031,1659.9
43,close_distance_trash1022.jpg,trash,yes,no,"plastic bag: 0.34 | plastic bottle: 0.31 | no garbage, clean environment: 0.23 | trash pile: 0.04 | plastic wrapper: 0.03 | trash: 0.02 | can: 0.01 | metal scrap: 0.01 | glass: 0.00",0.035,1659.9
44,close_distance_trash1022.jpg,can,no,no,"plastic bag: 0.34 | plastic bottle: 0.31 | no garbage, clean environment: 0.23 | trash pile: 0.04 | plastic wrapper: 0.03 | trash: 0.02 | can: 0.01 | metal scrap: 0.01 | glass: 0.00",0.03,1659.9
45,close_distance_trash1022.jpg,metal scrap,no,no,"plastic bag: 0.34 | plastic bottle: 0.31 | no garbage, clean environment: 0.23 | trash pile: 0.04 | plastic wrapper: 0.03 | trash: 0.02 | can: 0.01 | metal scrap: 0.01 | glass: 0.00",0.029,1659.9
46,close_distance_trash1022.jpg,glass,no,no,"plastic bag: 0.34 | plastic bottle: 0.31 | no garbage, clean environment: 0.23 | trash pile: 0.04 | plastic wrapper: 0.03 | trash: 0.02 | can: 0.01 | metal scrap: 0.01 | glass: 0.00",0.031,1659.9
47,close_distance_trash1022.jpg,plastic bag,no,yes,"plastic bag: 0.34 | plastic bottle: 0.31 | no garbage, clean environment: 0.23 | trash pile: 0.04 | plastic wrapper: 0.03 | trash: 0.02 | can: 0.01 | metal scrap: 0.01 | glass: 0.00",0.037,1659.9
48,close_distance_trash1022.jpg,plastic wrapper,no,no,"plastic bag: 0.34 | plastic bottle: 0.31 | no garbage, clean environment: 0.23 | trash pile: 0.04 | plastic wrapper: 0.03 | trash: 0.02 | can: 0.01 | metal scrap: 0.01 | glass: 0.00",0.029,1659.9
49,close_distance_trash1031.jpg,plastic bottle,yes,yes,"plastic bottle: 0.55 | plastic bag: 0.35 | plastic wrapper: 0.09 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.041,1659.9
50,close_distance_trash1031.jpg,plastic bag,yes,yes,"plastic bottle: 0.55 | plastic bag: 0.35 | plastic wrapper: 0.09 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.034,1659.9
51,close_distance_trash1031.jpg,trash pile,no,no,"plastic bottle: 0.55 | plastic bag: 0.35 | plastic wrapper: 0.09 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.032,1659.9
52,close_distance_trash1031.jpg,glass,no,no,"plastic bottle: 0.55 | plastic bag: 0.35 | plastic wrapper: 0.09 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.033,1659.9
53,close_distance_trash1031.jpg,can,no,no,"plastic bottle: 0.55 | plastic bag: 0.35 | plastic wrapper: 0.09 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.029,1659.9
54,close_distance_trash1031.jpg,metal scrap,no,no,"plastic bottle: 0.55 | plastic bag: 0.35 | plastic wrapper: 0.09 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.032,1659.9
55,close_distance_trash1031.jpg,plastic wrapper,no,no,"plastic bottle: 0.55 | plastic bag: 0.35 | plastic wrapper: 0.09 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.031,1659.9
56,close_distance_trash1031.jpg,trash,no,no,"plastic bottle: 0.55 | plastic bag: 0.35 | plastic wrapper: 0.09 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00",0.033,1659.9
57,close_distance_trash104.jpg,plastic bag,yes,yes,"plastic bag: 0.90 | no garbage, clean environment: 0.08 | plastic bottle: 0.01 | plastic wrapper: 0.01 | trash pile: 0.00 | trash: 0.00 | metal scrap: 0.00 | glass: 0.00 | can: 0.00",0.045,1659.9
58,close_distance_trash104.jpg,trash pile,no,no,"plastic bag: 0.90 | no garbage, clean environment: 0.08 | plastic bottle: 0.01 | plastic wrapper: 0.01 | trash pile: 0.00 | trash: 0.00 | metal scrap: 0.00 | glass: 0.00 | can: 0.00",0.031,1659.9
59,close_distance_trash104.jpg,metal scrap,no,no,"plastic bag: 0.90 | no garbage, clean environment: 0.08 | plastic bottle: 0.01 | plastic wrapper: 0.01 | trash pile: 0.00 | trash: 0.00 | metal scrap: 0.00 | glass: 0.00 | can: 0.00",0.032,1659.9
60,close_distance_trash104.jpg,trash,no,no,"plastic bag: 0.90 | no garbage, clean environment: 0.08 | plastic bottle: 0.01 | plastic wrapper: 0.01 | trash pile: 0.00 | trash: 0.00 | metal scrap: 0.00 | glass: 0.00 | can: 0.00",0.027,1659.9
61,close_distance_trash104.jpg,plastic wrapper,no,no,"plastic bag: 0.90 | no garbage, clean environment: 0.08 | plastic bottle: 0.01 | plastic wrapper: 0.01 | trash pile: 0.00 | trash: 0.00 | metal scrap: 0.00 | glass: 0.00 | can: 0.00",0.037,1659.9
62,close_distance_trash104.jpg,plastic bottle,no,no,"plastic bag: 0.90 | no garbage, clean environment: 0.08 | plastic bottle: 0.01 | plastic wrapper: 0.01 | trash pile: 0.00 | trash: 0.00 | metal scrap: 0.00 | glass: 0.00 | can: 0.00",0.034,1659.9
63,close_distance_trash104.jpg,can,no,no,"plastic bag: 0.90 | no garbage, clean environment: 0.08 | plastic bottle: 0.01 | plastic wrapper: 0.01 | trash pile: 0.00 | trash: 0.00 | metal scrap: 0.00 | glass: 0.00 | can: 0.00",0.024,1659.9
64,close_distance_trash104.jpg,glass,no,no,"plastic bag: 0.90 | no garbage, clean environment: 0.08 | plastic bottle: 0.01 | plastic wrapper: 0.01 | trash pile: 0.00 | trash: 0.00 | metal scrap: 0.00 | glass: 0.00 | can: 0.00",0.029,1659.9
65,close_distance_trash1047.jpg,can,yes,no,"plastic bottle: 0.33 | plastic wrapper: 0.32 | no garbage, clean environment: 0.20 | plastic bag: 0.07 | trash: 0.03 | trash pile: 0.03 | metal scrap: 0.02 | can: 0.01 | glass: 0.00",0.039,1659.9
66,close_distance_trash1047.jpg,metal scrap,no,no,"plastic bottle: 0.33 | plastic wrapper: 0.32 | no garbage, clean environment: 0.20 | plastic bag: 0.07 | trash: 0.03 | trash pile: 0.03 | metal scrap: 0.02 | can: 0.01 | glass: 0.00",0.037,1659.9
67,close_distance_trash1047.jpg,glass,no,no,"plastic bottle: 0.33 | plastic wrapper: 0.32 | no garbage, clean environment: 0.20 | plastic bag: 0.07 | trash: 0.03 | trash pile: 0.03 | metal scrap: 0.02 | can: 0.01 | glass: 0.00",0.036,1659.9
68,close_distance_trash1047.jpg,plastic bottle,no,yes,"plastic bottle: 0.33 | plastic wrapper: 0.32 | no garbage, clean environment: 0.20 | plastic bag: 0.07 | trash: 0.03 | trash pile: 0.03 | metal scrap: 0.02 | can: 0.01 | glass: 0.00",0.035,1659.9
69,close_distance_trash1047.jpg,trash pile,no,no,"plastic bottle: 0.33 | plastic wrapper: 0.32 | no garbage, clean environment: 0.20 | plastic bag: 0.07 | trash: 0.03 | trash pile: 0.03 | metal scrap: 0.02 | can: 0.01 | glass: 0.00",0.039,1659.9
70,close_distance_trash1047.jpg,plastic wrapper,no,yes,"plastic bottle: 0.33 | plastic wrapper: 0.32 | no garbage, clean environment: 0.20 | plastic bag: 0.07 | trash: 0.03 | trash pile: 0.03 | metal scrap: 0.02 | can: 0.01 | glass: 0.00",0.035,1659.9
71,close_distance_trash1047.jpg,trash,no,no,"plastic bottle: 0.33 | plastic wrapper: 0.32 | no garbage, clean environment: 0.20 | plastic bag: 0.07 | trash: 0.03 | trash pile: 0.03 | metal scrap: 0.02 | can: 0.01 | glass: 0.00",0.03,1659.9
72,close_distance_trash1047.jpg,plastic bag,no,no,"plastic bottle: 0.33 | plastic wrapper: 0.32 | no garbage, clean environment: 0.20 | plastic bag: 0.07 | trash: 0.03 | trash pile: 0.03 | metal scrap: 0.02 | can: 0.01 | glass: 0.00",0.035,1659.9
73,close_distance_trash105.jpg,plastic bottle,yes,yes,"plastic bottle: 0.42 | plastic wrapper: 0.37 | glass: 0.12 | can: 0.07 | no garbage, clean environment: 0.01 | trash: 0.01 | plastic bag: 0.00 | trash pile: 0.00 | metal scrap: 0.00",0.026,1659.9
74,close_distance_trash105.jpg,trash,no,no,"plastic bottle: 0.42 | plastic wrapper: 0.37 | glass: 0.12 | can: 0.07 | no garbage, clean environment: 0.01 | trash: 0.01 | plastic bag: 0.00 | trash pile: 0.00 | metal scrap: 0.00",0.025,1659.9
75,close_distance_trash105.jpg,can,no,no,"plastic bottle: 0.42 | plastic wrapper: 0.37 | glass: 0.12 | can: 0.07 | no garbage, clean environment: 0.01 | trash: 0.01 | plastic bag: 0.00 | trash pile: 0.00 | metal scrap: 0.00",0.032,1659.9
76,close_distance_trash105.jpg,plastic bag,no,no,"plastic bottle: 0.42 | plastic wrapper: 0.37 | glass: 0.12 | can: 0.07 | no garbage, clean environment: 0.01 | trash: 0.01 | plastic bag: 0.00 | trash pile: 0.00 | metal scrap: 0.00",0.03,1659.9
77,close_distance_trash105.jpg,trash pile,no,no,"plastic bottle: 0.42 | plastic wrapper: 0.37 | glass: 0.12 | can: 0.07 | no garbage, clean environment: 0.01 | trash: 0.01 | plastic bag: 0.00 | trash pile: 0.00 | metal scrap: 0.00",0.026,1659.9
78,close_distance_trash105.jpg,metal scrap,no,no,"plastic bottle: 0.42 | plastic wrapper: 0.37 | glass: 0.12 | can: 0.07 | no garbage, clean environment: 0.01 | trash: 0.01 | plastic bag: 0.00 | trash pile: 0.00 | metal scrap: 0.00",0.029,1659.9
79,close_distance_trash105.jpg,glass,no,no,"plastic bottle: 0.42 | plastic wrapper: 0.37 | glass: 0.12 | can: 0.07 | no garbage, clean environment: 0.01 | trash: 0.01 | plastic bag: 0.00 | trash pile: 0.00 | metal scrap: 0.00",0.031,1659.9
80,close_distance_trash105.jpg,plastic wrapper,no,yes,"plastic bottle: 0.42 | plastic wrapper: 0.37 | glass: 0.12 | can: 0.07 | no garbage, clean environment: 0.01 | trash: 0.01 | plastic bag: 0.00 | trash pile: 0.00 | metal scrap: 0.00",0.035,1659.9
81,close_distance_trash106.jpg,plastic bag,yes,yes,"plastic bag: 0.94 | plastic wrapper: 0.03 | plastic bottle: 0.02 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.034,1659.9
82,close_distance_trash106.jpg,glass,no,no,"plastic bag: 0.94 | plastic wrapper: 0.03 | plastic bottle: 0.02 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.041,1659.9
83,close_distance_trash106.jpg,plastic bottle,no,no,"plastic bag: 0.94 | plastic wrapper: 0.03 | plastic bottle: 0.02 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.031,1659.9
84,close_distance_trash106.jpg,metal scrap,no,no,"plastic bag: 0.94 | plastic wrapper: 0.03 | plastic bottle: 0.02 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.029,1659.9
85,close_distance_trash106.jpg,can,no,no,"plastic bag: 0.94 | plastic wrapper: 0.03 | plastic bottle: 0.02 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.045,1659.9
86,close_distance_trash106.jpg,plastic wrapper,no,no,"plastic bag: 0.94 | plastic wrapper: 0.03 | plastic bottle: 0.02 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.03,1659.9
87,close_distance_trash106.jpg,trash pile,no,no,"plastic bag: 0.94 | plastic wrapper: 0.03 | plastic bottle: 0.02 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.024,1659.9
88,close_distance_trash106.jpg,trash,no,no,"plastic bag: 0.94 | plastic wrapper: 0.03 | plastic bottle: 0.02 | no garbage, clean environment: 0.01 | trash: 0.00 | trash pile: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.044,1659.9
89,close_distance_trash1062.jpg,plastic bottle,yes,yes,"plastic bottle: 0.94 | plastic bag: 0.02 | no garbage, clean environment: 0.02 | plastic wrapper: 0.01 | can: 0.00 | trash: 0.00 | trash pile: 0.00 | metal scrap: 0.00 | glass: 0.00",0.05,1659.9
90,close_distance_trash1062.jpg,trash pile,yes,no,"plastic bottle: 0.94 | plastic bag: 0.02 | no garbage, clean environment: 0.02 | plastic wrapper: 0.01 | can: 0.00 | trash: 0.00 | trash pile: 0.00 | metal scrap: 0.00 | glass: 0.00",0.033,1659.9
91,close_distance_trash1062.jpg,can,no,no,"plastic bottle: 0.94 | plastic bag: 0.02 | no garbage, clean environment: 0.02 | plastic wrapper: 0.01 | can: 0.00 | trash: 0.00 | trash pile: 0.00 | metal scrap: 0.00 | glass: 0.00",0.037,1659.9
92,close_distance_trash1062.jpg,metal scrap,no,no,"plastic bottle: 0.94 | plastic bag: 0.02 | no garbage, clean environment: 0.02 | plastic wrapper: 0.01 | can: 0.00 | trash: 0.00 | trash pile: 0.00 | metal scrap: 0.00 | glass: 0.00",0.046,1659.9
93,close_distance_trash1062.jpg,plastic bag,no,no,"plastic bottle: 0.94 | plastic bag: 0.02 | no garbage, clean environment: 0.02 | plastic wrapper: 0.01 | can: 0.00 | trash: 0.00 | trash pile: 0.00 | metal scrap: 0.00 | glass: 0.00",0.031,1659.9
94,close_distance_trash1062.jpg,plastic wrapper,no,no,"plastic bottle: 0.94 | plastic bag: 0.02 | no garbage, clean environment: 0.02 | plastic wrapper: 0.01 | can: 0.00 | trash: 0.00 | trash pile: 0.00 | metal scrap: 0.00 | glass: 0.00",0.034,1659.9
95,close_distance_trash1062.jpg,glass,no,no,"plastic bottle: 0.94 | plastic bag: 0.02 | no garbage, clean environment: 0.02 | plastic wrapper: 0.01 | can: 0.00 | trash: 0.00 | trash pile: 0.00 | metal scrap: 0.00 | glass: 0.00",0.042,1659.9
96,close_distance_trash1062.jpg,trash,no,no,"plastic bottle: 0.94 | plastic bag: 0.02 | no garbage, clean environment: 0.02 | plastic wrapper: 0.01 | can: 0.00 | trash: 0.00 | trash pile: 0.00 | metal scrap: 0.00 | glass: 0.00",0.03,1659.9
97,close_distance_trash1097.jpg,plastic bottle,yes,yes,"plastic bottle: 0.71 | plastic bag: 0.27 | plastic wrapper: 0.01 | no garbage, clean environment: 0.00 | trash: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00 | trash pile: 0.00",0.03,1659.9
98,close_distance_trash1097.jpg,trash pile,no,no,"plastic bottle: 0.71 | plastic bag: 0.27 | plastic wrapper: 0.01 | no garbage, clean environment: 0.00 | trash: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00 | trash pile: 0.00",0.028,1659.9
99,close_distance_trash1097.jpg,metal scrap,no,no,"plastic bottle: 0.71 | plastic bag: 0.27 | plastic wrapper: 0.01 | no garbage, clean environment: 0.00 | trash: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00 | trash pile: 0.00",0.032,1659.9
100,close_distance_trash1097.jpg,plastic wrapper,no,no,"plastic bottle: 0.71 | plastic bag: 0.27 | plastic wrapper: 0.01 | no garbage, clean environment: 0.00 | trash: 0.00 | can: 0.00 | glass: 0.00 | metal scrap: 0.00 | trash pile: 0.00",0.029,1659.9
